ID	ZT0_REP1	ZT0_REP2	ZT0_REP3	ZT4_REP1	ZT4_REP2	ZT4_REP3	ZT8_REP1	ZT8_REP2	ZT8_REP3	ZT12_REP1	ZT12_REP2	ZT12_REP3	ZT16_REP1	ZT16_REP2	ZT16_REP3	ZT20_REP1	ZT20_REP2	ZT20_REP3	GroundTruth
T	1.90634	1.90826	2.04086	1.85771	1.96327	1.84541	2.00366	1.97545	2.02077	1.89916	1.95141	1.94789	1.99126	1.99045	1.89266	2.05631	2.00365	2.00051	0
Pde10a	2.47117	2.56654	2.49069	2.69524	2.50977	2.53181	2.52797	2.57324	2.50344	2.56121	2.50347	2.54096	2.6383	2.58979	2.48597	2.61984	2.46585	2.51212	0
1700010I14Rik	2.38548	2.35671	2.38108	2.47469	2.37986	2.31078	2.29779	2.35459	2.42104	2.31273	2.34061	2.37791	2.33611	2.39871	2.34598	2.45448	2.456	2.46873	0
Qk	2.26533	2.30235	2.38676	2.17181	2.27392	2.29505	2.26357	2.18453	2.1066	2.32511	2.27509	2.22882	2.2331	2.32815	2.21414	2.18259	2.20296	2.38929	0
1700110C19Rik	1.9416	1.95173	2.05857	1.96458	1.93416	2.00369	2.07087	2.02251	1.94026	2.06035	1.92176	1.90981	2.00994	2.23574	1.99619	1.97682	2.00448	1.95299	0
Park2	2.87446	2.84966	2.91119	2.87736	2.95147	2.73741	2.87249	2.95382	2.72861	2.83054	2.73704	2.78943	2.77459	2.7764	2.86551	2.8718	2.86667	2.86654	0
Agpat4	2.17046	2.26595	2.20086	2.23792	2.22416	2.1878	2.21431	2.14189	2.33358	2.30574	2.17318	2.2452	2.22865	2.31176	1.98245	2.01221	2.18659	2.17202	0
Map3k4	2.50679	2.45934	2.58275	2.55045	2.48243	2.53648	2.49179	2.50864	2.53121	2.43913	2.50376	2.45521	2.47538	2.49746	2.49568	2.50314	2.47981	2.49241	0
4732491K20Rik	2.60681	2.69278	2.63579	2.68593	2.69177	2.66821	2.62333	2.66032	2.74097	2.67293	2.66203	2.59265	2.68503	2.72817	2.62861	2.69647	2.68948	2.6931	0
Plg	3.64263	3.63679	3.647	3.64292	3.64134	3.64368	3.63599	3.64525	3.6281	3.62417	3.63633	3.64076	3.62786	3.63403	3.64368	3.64038	3.6345	3.64035	0
C030013G03Rik	1.45401	1.37406	1.70192	1.43947	1.50707	1.40252	1.62194	1.3243	1.42934	1.38662	1.40988	1.46755	1.57867	1.55087	1.46987	1.63649	1.62173	1.6478	0
Slc22a2	1.95819	1.89235	1.96942	2.03909	1.79766	1.93835	1.87643	1.86039	1.73697	1.8966	1.74619	1.78591	1.81747	1.90323	1.92789	1.92	1.69396	1.93175	0
Airn	2.27956	2.30571	2.24167	2.30086	2.35284	2.42248	2.36799	2.24555	2.31976	2.3879	2.22355	2.264	2.30008	2.39693	2.20709	2.29547	2.30848	2.25976	0
Mrgprh	1.9275	1.94207	1.92305	1.89211	1.99643	1.95125	1.80953	1.98845	1.90465	1.84703	1.82981	1.85863	1.85826	1.82559	2.06949	1.99779	1.96551	1.96993	0
Tcp1	3.31166	3.31371	3.31591	3.30047	3.31422	3.25963	3.26449	3.3176	3.24994	3.29925	3.32277	3.30638	3.30793	3.30779	3.33105	3.29841	3.32763	3.31544	0
Tcp1_dup1	1.90613	1.97881	2.03707	1.89712	1.89727	2.03948	1.91816	1.90528	1.93244	1.96331	1.81071	1.98019	1.90188	1.86185	1.8334	1.99606	1.82156	1.95029	0
Snora20	2.75878	2.76981	2.66403	2.76252	2.72421	2.76703	2.66458	2.68745	2.69874	2.68587	2.72451	2.70863	2.7403	2.66411	2.62858	2.71869	2.7631	2.60835	0
Sod2	3.53447	3.51681	3.5295	3.4966	3.53063	3.54554	3.5326	3.50287	3.54997	3.52716	3.54343	3.53836	3.54789	3.54097	3.53781	3.52417	3.53329	3.52389	0
Tcp10b	1.90933	1.68183	1.64654	1.68359	1.97876	1.64236	1.94919	1.79958	1.92937	1.79827	1.6759	1.98092	1.74872	1.58566	1.82324	1.78723	1.79158	1.7967	0
Gm10512	2.19635	2.24409	2.28351	2.06002	2.05693	2.23621	2.13548	2.17332	2.0206	2.30376	2.13528	2.24321	2.17632	2.19525	2.22402	2.25723	2.15286	2.1243	0
Smok2a	2.17061	2.11963	2.07425	2.17113	2.15516	2.00472	1.99603	2.07552	2.18369	2.12125	2.25786	2.19764	2.30496	1.97614	2.38828	2.30192	2.18209	2.16967	0
Smok2b	2.56053	2.49398	2.54172	2.54585	2.5305	2.45551	2.45125	2.55266	2.52274	2.47288	2.55348	2.61924	2.55758	2.37867	2.60645	2.54478	2.59108	2.55542	0
Tcp10c	1.87267	1.5055	2.03228	1.91399	1.96874	1.91054	1.86805	1.8951	1.78939	1.88432	1.97206	2.05303	1.69663	1.9086	2.03131	1.64139	1.75385	1.94605	0
Gm16050	2.61633	2.61746	2.53726	2.63242	2.60923	2.53375	2.65222	2.5838	2.54224	2.59468	2.65935	2.68388	2.66754	2.61601	2.57459	2.68298	2.62698	2.73003	0
Smok4a	1.93894	2.03604	1.91078	1.67558	1.88276	1.8584	1.54892	1.74182	1.82269	1.81954	1.76202	1.78572	1.83056	1.81834	2.0609	1.93013	1.75523	1.58632	0
Mllt4	3.03642	3.04775	3.01987	3.06567	3.03891	3.03692	3.02315	3.04692	2.99446	3.00854	2.99283	2.99955	2.97833	3.01274	3.03836	3.00889	3.0262	3.0342	0
Gm7168	2.0682	1.89762	2.0804	2.15442	1.98789	2.01734	1.91171	1.8302	1.65452	1.89351	1.9258	1.92266	2.05369	1.65964	2.03705	1.80845	1.97955	1.74427	0
Smoc2	2.74542	2.73499	2.62037	2.66124	2.71675	2.74729	2.83291	2.70975	2.76527	2.84798	2.74598	2.67469	2.82368	2.78972	2.68395	2.63768	2.72513	2.67107	0
1600012H06Rik	2.81336	2.7965	2.83972	2.80538	2.81274	2.80602	2.78073	2.79115	2.83137	2.76313	2.76757	2.79798	2.76101	2.77784	2.8103	2.83009	2.77679	2.76679	0
9030025P20Rik	2.26618	2.47824	2.4659	2.35704	2.56697	2.17948	2.37333	2.45748	2.17255	2.49492	2.32152	2.09255	2.55023	2.49572	2.39985	2.46613	2.52189	2.46794	0
2210404J11Rik	3.06237	3.08471	3.06489	3.0318	3.12194	3.03925	3.09753	3.08621	3.03491	3.1372	3.02032	3.01218	3.09063	3.07366	3.07686	3.05544	3.07426	3.10669	0
2210404J11Rik_dup1	2.71077	2.71801	2.7502	2.64304	2.76782	2.66492	2.73649	2.7148	2.76458	2.78386	2.72852	2.73235	2.72013	2.73113	2.7022	2.66715	2.70361	2.72086	0
