id	AH063	AH064	AH065	AH066
LmxM.06.1170	5	1	1	10
LmxM.06.1180	31	117	111	176
LmxM.06.1190	79	209	185	459
LmxM.06.1200	249	590	699	873
LmxM.06.1210	12	36	17	68
LmxM.06.1220	71	257	202	308
LmxM.06.1230	10	64	68	83
LmxM.06.1240	57	113	88	85
LmxM.06.1245	376	1219	1650	2382
LmxM.06.1250	17	49	52	94
LmxM.06.1260	2579	12467	4579	8210
LmxM.06.1270	133	214	334	206
LmxM.06.1280	118	509	599	334
LmxM.06.1290	242	773	401	643
LmxM.07.0010	167	545	295	632
LmxM.07.0020	2051	3754	4651	3930
LmxM.07.0025	63	84	89	77
LmxM.07.0030	7	19	21	43
LmxM.07.0040	65	37	80	30
LmxM.07.0050	44	89	156	145
LmxM.07.0060	1510	1025	2560	1158
LmxM.07.0070	48	207	283	277
LmxM.07.0080	1033	2234	2155	2165
LmxM.07.0090	181	451	567	950
LmxM.07.0100	17	31	64	58
LmxM.07.0110	15	35	32	86
LmxM.07.0120	24	11	25	16
LmxM.07.0130	3	13	12	17
LmxM.07.0140	3	42	28	81
LmxM.07.0150	3	33	42	93
LmxM.07.0160	31	1	3	0
LmxM.07.0170	6	25	26	60
LmxM.07.0180	80	217	135	275
LmxM.07.0190	3	1	0	1
LmxM.07.0200	0	19	19	23
LmxM.07.0210	19	37	42	44
LmxM.07.0220	173	307	454	382
LmxM.07.0230	2	0	2	2
LmxM.07.0240	2	4	11	14
LmxM.07.0250	54	119	97	192
LmxM.07.0260	5	8	3	27
LmxM.07.0270	80	98	131	145
LmxM.07.0280	1	2	2	2
LmxM.07.0290	1009	767	1450	1420
LmxM.07.0300	2	152	134	221
LmxM.07.0310	897	2970	3295	5103
LmxM.07.0320	10	0	3	2
LmxM.07.0330	14	42	43	108
LmxM.07.0335	2	11	12	25
LmxM.07.0340	1382	2275	3408	2188
LmxM.07.0350	5	7	13	22
LmxM.07.0360	14	26	31	43
LmxM.07.0370	13	45	45	192
LmxM.07.0380	42	25	21	25
LmxM.07.0390	7	10	27	41
LmxM.07.0400	66	264	264	379
LmxM.07.0410	105	434	336	447
LmxM.07.0420	8	32	68	42
LmxM.07.0430	1378	3446	4685	3894
LmxM.07.0440	118	257	243	216
LmxM.07.0450	17	20	37	58
LmxM.07.0460	135	168	303	257
LmxM.07.0470	112	172	328	129
LmxM.07.0475	293	565	578	971
LmxM.07.0480	397	1200	983	1219
LmxM.07.0490	20	125	104	114
LmxM.07.0500	8083	15211	18076	22475
LmxM.07.0510	1255	1896	2208	2541
LmxM.07.0520	23	177	113	215
LmxM.07.0530	7	39	24	48
LmxM.07.0540	29	53	62	138
LmxM.07.0550	107	221	212	408
LmxM.07.0560	21	70	69	58
LmxM.07.0570	14	88	203	238
LmxM.07.0580	65	185	312	273
LmxM.07.0590	191	344	285	363
LmxM.07.0600	72	166	172	212
LmxM.07.0610	37	65	146	118
LmxM.07.0615	2	2	1	2
LmxM.07.0620	3	1	2	1
LmxM.07.0630	37	56	58	79
LmxM.07.0640	290	756	1866	852
LmxM.07.0650	224	866	906	1133
LmxM.07.0660	5	43	25	47
LmxM.07.0670	95	182	194	280
LmxM.07.0680	242	547	687	758
LmxM.07.0690	13	30	38	55
LmxM.07.0700	5	16	17	18
LmxM.07.0710	475	1073	1068	1229
LmxM.07.0715	8	21	27	54
LmxM.07.0720	1	15	18	28
LmxM.07.0730	37	120	91	182
LmxM.07.0740	13	149	117	264
LmxM.07.0743	29	238	214	435
LmxM.07.0750	4	29	24	29
LmxM.07.0760	3	9	5	22
LmxM.07.0770	79	119	142	269
LmxM.07.0780	192	337	403	677
LmxM.07.0790	0	7	8	16
LmxM.07.0800	190	138	517	141
LmxM.07.0802	387	951	1363	1744
LmxM.07.0805	1618	3595	2064	2515
LmxM.07.0810	1	3	0	2
LmxM.07.0830	56	260	378	536
LmxM.07.0831	64	170	157	191
LmxM.07.0840	57	190	71	209
LmxM.07.0850	50	78	77	91
LmxM.07.0860	21	40	32	53
LmxM.07.0870	136	172	236	204
LmxM.07.0880	315	984	937	1064
LmxM.07.0890	430	1203	1025	2843
LmxM.07.0900	668	1452	1198	1708
LmxM.07.0910	57	171	137	323
LmxM.07.0920	11	45	70	90
LmxM.07.0930	20	55	84	97
LmxM.07.0940	29	127	166	327
LmxM.07.0950	27	123	74	192
LmxM.07.0960	26	85	53	87
LmxM.07.0970	13	63	52	104
LmxM.07.0980	2	2	1	0
LmxM.07.0990	3489	6071	7018	6053
LmxM.07.1000	136	244	531	286
LmxM.07.1010	164	511	470	668
LmxM.07.1020	6	24	10	24
LmxM.07.1030	606	700	872	1017
LmxM.07.1035	29	48	42	64
LmxM.07.1040	7	15	15	43
LmxM.07.1050	112	166	254	263
LmxM.07.1055	5	26	31	55
LmxM.07.1060	16	51	34	49
LmxM.07.1070	0	31	41	91
LmxM.07.1080	37	127	164	235
LmxM.07.1090	41	56	45	91
LmxM.07.1100	1	9	14	27
LmxM.07.1101	1143	1362	1645	1222
LmxM.07.1110	40	69	95	103
LmxM.07.1120	46	59	94	89
LmxM.07.1130	15	44	35	82
LmxM.07.1140	115	235	199	250
